iter	Passed	Remaining
817	8907	1981
818	8917	1970
819	8928	1959
820	8939	1949
821	8949	1937
822	8959	1926
823	8970	1916
824	8982	1905
825	8993	1894
826	9003	1883
827	9013	1872
828	9024	1861
829	9035	1850
830	9045	1839
831	9055	1828
832	9065	1817
833	9075	1806
834	9084	1795
835	9095	1784
836	9105	1773
837	9115	1762
838	9126	1751
839	9137	1740
840	9146	1729
841	9156	1718
842	9165	1707
843	9175	1695
844	9186	1685
845	9197	1674
846	9207	1663
847	9217	1652
848	9227	1641
849	9239	1630
850	9251	1619
851	9261	1608
852	9271	1597
853	9281	1586
854	9290	1575
855	9301	1564
856	9313	1554
857	9324	1543
858	9333	1532
859	9344	1521
860	9355	1510
861	9366	1499
862	9376	1488
863	9386	1477
864	9397	1466
865	9408	1455
866	9420	1445
867	9430	1434
868	9440	1423
869	9452	1412
870	9461	1401
871	9470	1390
872	9482	1379
873	9493	1368
874	9504	1357
875	9514	1346
876	9524	1335
877	9535	1324
878	9544	1313
879	9555	1302
880	9564	1291
881	9573	1280
882	9584	1270
883	9601	1259
884	9615	1249
885	9626	1238
886	9635	1227
887	9645	1216
888	9656	1205
889	9666	1194
890	9675	1183
891	9685	1172
892	9695	1161
893	9706	1150
894	9718	1140
895	9729	1129
896	9739	1118
897	9752	1107
898	9763	1096
899	9771	1085
900	9782	1074
901	9791	1063
902	9802	1053
903	9813	1042
904	9824	1031
905	9833	1020
906	9843	1009
907	9852	998
908	9863	987
909	9874	976
910	9886	965
911	9896	954
912	9910	944
913	9922	933
914	9931	922
915	9943	911
916	9953	900
917	9964	890
918	9973	879
919	9985	868
920	9995	857
921	10005	846
922	10017	835
923	10026	824
924	10037	813
925	10047	802
926	10056	791
927	10067	781
928	10077	770
929	10087	759
930	10097	748
931	10108	737
932	10118	726
933	10130	715
934	10141	705
935	10152	694
936	10162	683
937	10173	672
938	10182	661
939	10194	650
940	10205	639
941	10214	628
942	10225	618
943	10235	607
944	10245	596
945	10256	585
946	10266	574
947	10278	563
948	10290	552
949	10301	542
950	10311	531
951	10323	520
952	10334	509
953	10343	498
954	10353	487
955	10364	477
956	10374	466
957	10383	455
958	10396	444
959	10406	433
960	10417	422
961	10426	411
962	10437	401
963	10448	390
964	10457	379
965	10470	368
966	10480	357
967	10492	346
968	10503	336
969	10514	325
970	10525	314
971	10534	303
972	10545	292
973	10555	281
974	10568	270
975	10582	260
976	10592	249
977	10602	238
978	10612	227
979	10624	216
980	10635	205
981	10646	195
982	10657	184
983	10666	173
984	10676	162
985	10688	151
986	10698	140
987	10707	130
988	10718	119
989	10728	108
990	10738	97
991	10748	86
992	10757	75
993	10768	65
994	10778	54
995	10789	43
996	10798	32
997	10810	21
998	10823	10
999	10834	0
