id,split,filled_emp_length
759631,test,10
759739,test,10
761090,test,5
761225,test,10
761753,test,10
762298,test,1
762317,test,10
762334,test,2
762630,test,3
763067,test,0
763262,test,4
763601,test,5
763640,test,10
763665,test,10
763694,test,4
763723,test,10
763753,test,3
763883,test,10
764332,test,10
764953,test,3
765045,test,1
765094,test,10
765661,test,10
765715,test,5
766616,test,10
766639,test,6
766739,test,5
766973,test,8
767098,test,10
767580,test,1
767687,test,6
767790,test,8
768070,test,4
768524,test,4
768552,test,5
768605,test,8
768946,test,1
769111,test,10
769325,test,6
769619,test,10
769706,test,5
769795,test,6
769930,test,4
770000,test,0
770031,test,0
770058,test,1
770177,test,4
770892,test,6
770980,test,1
771076,test,3
771200,test,1
771451,test,3
771564,test,10
772058,test,4
772265,test,10
772287,test,1
772290,test,3
772417,test,4
772516,test,0
772782,test,2
772821,test,10
773063,test,4
773278,test,10
773834,test,6
773835,test,10
773926,test,5
774142,test,4
774182,test,5
774207,test,1
774290,test,10
774295,test,1
774447,test,0
774455,test,3
775331,test,7
775378,test,10
775876,test,6
775996,test,10
776564,test,9
777141,test,10
777252,test,10
777395,test,1
777608,test,10
777741,test,3
777801,test,6
777854,test,2
778172,test,0
778478,test,10
778627,test,4
779326,test,10
779365,test,1
779656,test,10
779812,test,2
779836,test,2
780008,test,2
780147,test,8
780445,test,10
780490,test,10
780547,test,7
780717,test,10
780797,test,10
780809,test,9
781104,test,2
781284,test,3
781306,test,2
782043,test,1
782177,test,0
782801,test,10
782974,test,5
783561,test,6
784101,test,2
784157,test,10
784204,test,8
784305,test,4
784434,test,10
784712,test,2
784746,test,0
784764,test,10
785240,test,10
785282,test,2
785592,test,4
785630,test,2
785656,test,2
785667,test,9
785745,test,3
785928,test,4
785937,test,7
786035,test,10
786070,test,9
786520,test,10
786655,test,5
786800,test,10
787064,test,9
787441,test,10
787712,test,8
787837,test,10
787865,test,2
788059,test,10
788372,test,10
788452,test,7
788544,test,3
788825,test,10
788842,test,9
788978,test,10
789281,test,10
789727,test,4
789771,test,0
790021,test,10
790093,test,7
790125,test,10
790499,test,2
790567,test,3
790775,test,4
790999,test,10
791118,test,10
791264,test,3
791612,test,10
791736,test,6
791743,test,0
791821,test,10
792026,test,0
792414,test,10
792650,test,1
792713,test,1
792800,test,10
792984,test,10
793134,test,2
793285,test,10
793313,test,0
793653,test,10
793772,test,5
793842,test,7
793889,test,0
793898,test,3
793962,test,0
794050,test,0
794207,test,8
794268,test,1
794680,test,10
794922,test,0
795264,test,5
795498,test,1
795570,test,4
795595,test,10
795948,test,0
796024,test,7
796092,test,10
796094,test,0
796177,test,3
796956,test,5
796979,test,0
797233,test,10
797297,test,10
